IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
26680050,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0864,,POPLAR LEVEL,RD,,,JEFFERSON,,,,,38.160035797,-85.671336631,8.052,5/9/2020 12:00:00 AM,1010,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING RIGHT,ANGLE,CURVE & LEVEL,DAYLIGHT,,,5/11/2020 8:31:06 AM,False,5036,Accepted,
26680075,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,4432,DYER,AVE,,,,,,,,38.182623426,-85.704461204,0.178,5/9/2020 12:00:00 AM,1557,2,2,0,1,CLEAR,DRY,False,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,5/11/2020 8:31:37 AM,False,5036,Accepted,
26680076,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BECKLEY STATION,RD,S,,SHELBY STATION,,,,,38.237184502,-85.488998791,0.126,5/9/2020 12:00:00 AM,1750,2,2,0,1,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,5/11/2020 8:31:44 AM,False,7018,Accepted,
26680083,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0042,,STORY,AVE,,I 0064,I64 E EXIT7 OFF RAMP TO  STORY AVE,,,,,38.258046569,-85.723312531,0.559,5/9/2020 12:00:00 AM,0625,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,5/11/2020 8:32:03 AM,False,7948,Accepted,
26680084,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,DUMESNIL,ST,,,36TH,,,,,38.237974043,-85.813804673,0.350,5/9/2020 12:00:00 AM,1952,2,2,0,2,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,5/11/2020 8:32:07 AM,False,7349,Accepted,
26680112,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,26TH,ST,N,,MAIN,,,,,38.260738040,-85.793574817,0.001,5/9/2020 12:00:00 AM,1905,2,2,0,0,CLEAR,DRY,True,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,5/11/2020 8:33:37 AM,False,7487,Accepted,
26680413,0561500,UNIV. OF LOUISVILLE POLICE,Accepted,JEFFERSON,,2126,FLOYD,ST,S,,,,,,,38.216238892,-85.754841590,2.716,5/9/2020 12:00:00 AM,0225,1,1,0,0,CLEAR,DRY,True,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,5/11/2020 9:20:30 AM,False,5612,Accepted,
26680078,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,22ND,ST,S,,OAK,,,,,38.237374689,-85.790291175,18.739,5/9/2020 12:00:00 AM,1253,2,2,0,0,CLEAR,DRY,True,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,5/11/2020 8:31:50 AM,False,5151,Accepted,
26680085,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,747,GAGEL,AVE,,,,,,,,38.172738257,-85.804548467,0.990,5/9/2020 12:00:00 AM,2333,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,5/11/2020 8:32:10 AM,False,5237,Accepted,
26680092,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,,MANSLICK,RD,,,CRUMS,,,,,38.189214316,-85.801166510,7.919,5/9/2020 12:00:00 AM,1600,2,2,0,2,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,CURVE & LEVEL,DAYLIGHT,,,5/11/2020 8:32:38 AM,False,7298,Accepted,
