IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
27438266,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,HIKES,LN,,,,,,,,38.219248012,-85.626682515,3.158,11/9/2020 12:00:00 AM,1205,2,2,0,0,CLEAR,DRY,True,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:18:24 AM,False,4693,Accepted,
27438267,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0061,,PRESTON,HWY,,,,,,,,38.119898542,-85.677792745,2.584,11/9/2020 12:00:00 AM,1133,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:18:33 AM,False,4693,Accepted,
27438268,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,KY0907,3RD ST,,,,,38.127154882,-85.791938976,0.156,11/9/2020 12:00:00 AM,0904,2,2,0,1,CLEAR,DRY,False,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:18:36 AM,False,5323,Accepted,
27438269,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LIBERTY,ST,W,,6TH,,,,,38.253491714,-85.760934832,0.400,11/9/2020 12:00:00 AM,1343,2,2,0,0,CLOUDY,DRY,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:18:39 AM,False,7216,Accepted,
27438275,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LOWER HUNTERS,TRCE,,KY1934,GREENBELT,,,,,38.170206076,-85.876069184,2.531,11/9/2020 12:00:00 AM,1530,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:19:02 AM,False,7205,Accepted,
27438283,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,,ST ANDREWS CHURCH,RD,,,,,,,,38.145214928,-85.832895242,3.548,11/9/2020 12:00:00 AM,2221,2,1,0,0,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,11/10/2020 8:19:33 AM,False,5212,Accepted,
27438284,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,KY0061,PRESTON,,,,,38.138592831,-85.686044633,6.091,11/9/2020 12:00:00 AM,2045,2,2,0,2,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,11/10/2020 8:19:37 AM,False,5042,Accepted,
27438285,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1865,,TAYLOR,BLVD,,I 0264,I264 W EXIT9 OFF RAMP TO KY1865,,,,,38.189757863,-85.783349314,5.751,11/9/2020 12:00:00 AM,2106,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,CURVE & LEVEL,DARK-HWY LIGHTED/ON,,,11/10/2020 8:19:40 AM,False,5183,Accepted,
27438292,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,MEADOWBROOK,,,,,38.189333117,-85.642094771,9.733,11/9/2020 12:00:00 AM,2318,1,1,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,11/10/2020 8:19:58 AM,False,7492,Accepted,
27438294,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1747,,HURSTBOURNE,PKWY,S,,STONY BROOK,,,,,38.171139644,-85.604368186,7.635,11/9/2020 12:00:00 AM,1423,2,2,0,1,CLEAR,DRY,True,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:20:04 AM,False,2017,Accepted,
27442730,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0061,,PRESTON,HWY,,,,,,,,38.174314323,-85.712394847,6.850,11/9/2020 12:00:00 AM,1414,2,2,0,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,11/11/2020 8:32:28 AM,False,4693,Accepted,
27442747,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,VARBLE,AVE,,,SOUTHWESTERN,,,,,38.249478448,-85.827222473,0.006,11/9/2020 12:00:00 AM,2026,2,2,0,3,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,11/11/2020 8:33:33 AM,False,5232,Accepted,
27438282,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,BROADWAY,,W,,10TH,,,,,38.247033909,-85.768272797,1.835,11/9/2020 12:00:00 AM,1955,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,11/10/2020 8:19:30 AM,False,7862,Accepted,
27438257,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,SMYRNA,,,,,38.137951129,-85.641894674,8.515,11/9/2020 12:00:00 AM,0750,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:17:50 AM,False,4693,Accepted,
27438265,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,5017,COTEHELE,PL,,,,,,,,38.315218295,-85.565761052,0.113,11/9/2020 12:00:00 AM,0125,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:18:21 AM,False,2489,Accepted,
27461798,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0065,,I65 S,,,,,,,,,38.207957776,-85.751959472,132.596,11/9/2020 12:00:00 AM,0414,2,2,0,1,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DARK-HWY LIGHTED/ON,,,11/16/2020 10:25:07 AM,False,5163,Accepted,
27491004,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,WATHEN,,HARDESTY,38.216597139,-85.795247381,17.152,11/9/2020 12:00:00 AM,0427,2,2,0,1,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,11/23/2020 4:36:03 PM,False,7123,Accepted,
27433248,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0864,,FEGENBUSH,LN,,KY1065,BEULAH CHURCH,,,,,38.137660104,-85.613439620,4.251,11/9/2020 12:00:00 AM,0632,2,2,0,2,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAWN,,,11/9/2020 8:55:50 AM,False,7120,Accepted,
27433249,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0864,,POPLAR LEVEL,RD,,,GARDINER,,,,,38.192558726,-85.705946791,11.101,11/9/2020 12:00:00 AM,0545,2,2,0,1,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & GRADE,DARK (UNKNOWN ROADWAY LIGHTING),,,11/9/2020 8:55:52 AM,False,5286,Accepted,
27438263,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1450,9911,BLUE LICK,RD,,,,,,,,38.103788745,-85.693342176,1.279,11/9/2020 12:00:00 AM,1311,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,11/10/2020 8:18:13 AM,False,2017,Accepted,
27438264,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,2000,7TH ST,RD,,,,,,,,38.219880969,-85.777590596,10.489,11/9/2020 12:00:00 AM,0845,2,1,0,1,CLEAR,DRY,False,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:18:17 AM,False,7772,Accepted,
27438271,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,PAYNE,ST,,,BISHOP,,,,,38.246602241,-85.728364285,0.149,11/9/2020 12:00:00 AM,1215,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:18:47 AM,False,7129,Accepted,
27438272,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,VESPER,,BARRETT,38.105183749,-85.868276702,8.445,11/9/2020 12:00:00 AM,1537,2,2,0,0,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:18:50 AM,False,7073,Accepted,
27438273,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,5537,NATIONAL,TPKE,,,,,,,,38.151189785,-85.763546879,5.533,11/9/2020 12:00:00 AM,1443,2,2,0,1,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2020 8:18:54 AM,False,5326,Accepted,
